"","city","state","city_size","mode","n","percent","moe","state_abb","state_region","city_state","lon","lat"
"1116","Riverton city","Utah","Small","Bike",21,0.1,0.1,"UT","West","Riverton city, Utah",-111.9391023,40.521893
"1117","Riviera Beach city","Florida","Small","Bike",53,0.4,0.4,"FL","South","Riviera Beach city, Florida",-80.0580969,26.7753405
"1118","Roanoke city","Virginia","Small","Bike",72,0.2,0.1,"VA","South","Roanoke city, Virginia",-79.9414266,37.2709704
"1119","Rochester city","New Hampshire","Small","Bike",1,0,0.1,"NH","Northeast","Rochester city, New Hampshire",-70.9756186,43.304526
"1120","Rochester Hills city","Michigan","Small","Bike",122,0.3,0.2,"MI","North Central","Rochester Hills city, Michigan",-83.1499322,42.6583661
"1121","Rock Hill city","South Carolina","Small","Bike",107,0.3,0.3,"SC","South","Rock Hill city, South Carolina",-81.0250784,34.9248667
"1122","Rock Island city","Illinois","Small","Bike",93,0.5,0.4,"IL","North Central","Rock Island city, Illinois",-90.5787476,41.5094771
"1123","Rock Springs city","Wyoming","Small","Bike",14,0.1,0.2,"WY","West","Rock Springs city, Wyoming",-109.2029043,41.5874644
"1124","Rockledge city","Florida","Small","Bike",70,0.6,0.4,"FL","South","Rockledge city, Florida",-80.7269854,28.3164498
"1125","Rocklin city","California","Small","Bike",59,0.2,0.2,"CA","West","Rocklin city, California",-121.2357828,38.7907339
"1126","Rockville Centre village","New York","Small","Bike",7,0.1,0.1,"NY","Northeast","Rockville Centre village, New York",-73.6412406,40.6587138
"1127","Rockville city","Maryland","Small","Bike",161,0.5,0.3,"MD","South","Rockville city, Maryland",-77.1527578,39.0839973
"1128","Rockwall city","Texas","Small","Bike",0,0,0.2,"TX","South","Rockwall city, Texas",-96.4597089,32.9312336
"1129","Rocky Mount city","North Carolina","Small","Bike",23,0.1,0.1,"NC","South","Rocky Mount city, North Carolina",-77.7905339,35.9382103
"1130","Rocky River city","Ohio","Small","Bike",16,0.2,0.3,"OH","North Central","Rocky River city, Ohio",-81.8497567,41.4768217
"1131","Rogers city","Arkansas","Small","Bike",39,0.1,0.1,"AR","South","Rogers city, Arkansas",-94.1185366,36.3320196
"1132","Rohnert Park city","California","Small","Bike",504,2.5,1.2,"CA","West","Rohnert Park city, California",-122.7010984,38.3396367
"1133","Rolling Meadows city","Illinois","Small","Bike",50,0.4,0.4,"IL","North Central","Rolling Meadows city, Illinois",-88.0131275,42.0841936
"1134","Rome city","Georgia","Small","Bike",154,1.1,0.7,"GA","South","Rome city, Georgia",-85.1646726,34.257038
"1135","Rome city","New York","Small","Bike",19,0.1,0.2,"NY","Northeast","Rome city, New York",-75.4557303,43.2128473
"1136","Romeoville village","Illinois","Small","Bike",0,0,0.2,"IL","North Central","Romeoville village, Illinois",-88.0895061,41.6475306
"1137","Romulus city","Michigan","Small","Bike",0,0,0.3,"MI","North Central","Romulus city, Michigan",-83.3965994,42.2222614
"1138","Roseburg city","Oregon","Small","Bike",280,3.4,1.8,"OR","West","Roseburg city, Oregon",-123.3417381,43.216505
"1139","Roselle borough","New Jersey","Small","Bike",18,0.2,0.2,"NJ","Northeast","Roselle borough, New Jersey",-74.2592769,40.6527292
"1140","Roselle village","Illinois","Small","Bike",14,0.1,0.2,"IL","North Central","Roselle village, Illinois",-88.0797933,41.9847504
"1141","Rosemead city","California","Small","Bike",193,0.8,0.5,"CA","West","Rosemead city, California",-118.072846,34.0805651
"1142","Rosemount city","Minnesota","Small","Bike",16,0.1,0.2,"MN","North Central","Rosemount city, Minnesota",-93.1257723,44.7394103
"1143","Rosenberg city","Texas","Small","Bike",72,0.5,0.7,"TX","South","Rosenberg city, Texas",-95.8085623,29.5571825
"1144","Roseville city","Michigan","Small","Bike",104,0.5,0.3,"MI","North Central","Roseville city, Michigan",-82.9371409,42.4972583
"1145","Roseville city","Minnesota","Small","Bike",301,1.8,0.7,"MN","North Central","Roseville city, Minnesota",-93.1566107,45.0060767
"1146","Roswell city","Georgia","Small","Bike",31,0.1,0.1,"GA","South","Roswell city, Georgia",-84.3615555,34.0232431
"1147","Roswell city","New Mexico","Small","Bike",58,0.3,0.2,"NM","West","Roswell city, New Mexico",-104.5230242,33.3942655
"1148","Round Lake Beach village","Illinois","Small","Bike",0,0,0.2,"IL","North Central","Round Lake Beach village, Illinois",-88.0900815,42.3716881
"1149","Rowlett city","Texas","Small","Bike",39,0.1,0.2,"TX","South","Rowlett city, Texas",-96.56388,32.9029017
"1150","Roy city","Utah","Small","Bike",49,0.3,0.3,"UT","West","Roy city, Utah",-112.0263313,41.1616108
"1151","Royal Oak city","Michigan","Small","Bike",122,0.4,0.2,"MI","North Central","Royal Oak city, Michigan",-83.1446485,42.4894801
"1152","Royal Palm Beach village","Florida","Small","Bike",154,1,0.6,"FL","South","Royal Palm Beach village, Florida",-80.2306019,26.7083984
"1153","Russellville city","Arkansas","Small","Bike",70,0.5,0.5,"AR","South","Russellville city, Arkansas",-93.1337856,35.2784173
"1154","Ruston city","Louisiana","Small","Bike",36,0.4,0.5,"LA","South","Ruston city, Louisiana",-92.637927,32.5232053
"1155","Saginaw city","Michigan","Small","Bike",98,0.6,0.6,"MI","North Central","Saginaw city, Michigan",-83.9508068,43.4194699
"1156","Saginaw city","Texas","Small","Bike",13,0.1,0.2,"TX","South","Saginaw city, Texas",-97.3639068,32.8601275
"1157","Sahuarita town","Arizona","Small","Bike",9,0.1,0.1,"AZ","West","Sahuarita town, Arizona",-110.955646,31.9575818
"1158","Salem city","Massachusetts","Small","Bike",155,0.7,0.4,"MA","Northeast","Salem city, Massachusetts",-70.8967155,42.51954
"1159","Salem city","Virginia","Small","Bike",34,0.3,0.3,"VA","South","Salem city, Virginia",-80.0547626,37.2934681
"1160","Salina city","Kansas","Small","Bike",89,0.4,0.3,"KS","North Central","Salina city, Kansas",-97.6114237,38.8402805
"1161","Salisbury city","Maryland","Small","Bike",97,0.8,0.6,"MD","South","Salisbury city, Maryland",-75.5993692,38.3606736
"1162","Salisbury city","North Carolina","Small","Bike",83,0.7,0.5,"NC","South","Salisbury city, North Carolina",-80.4742261,35.6709727
"1163","Sammamish city","Washington","Small","Bike",69,0.3,0.2,"WA","West","Sammamish city, Washington",-122.0355736,47.6162683
